feature,horizon,overall_ic,sign_ratio,flip_rate,mean_run_length,mean_ic,std_ic,min_ic,max_ic,icir,ic_low_momentum,ic_high_momentum,ic_low_vol,ic_high_vol,importance_score
ret_1,1,-0.04121,0.71620,0.05000,20.02439,-0.05877,0.09427,-0.25317,0.18015,-0.62342,0.03358,-0.10281,-0.06810,-0.01675,0.25301
ret_1,5,-0.05242,0.90330,0.01961,51.06250,-0.09566,0.07419,-0.30840,0.11581,-1.28944,0.00984,-0.10389,0.00731,-0.13045,0.25156
ret_1,10,-0.04649,0.87931,0.03822,26.19355,-0.10643,0.09373,-0.31210,0.13913,-1.13543,-0.00032,-0.09534,-0.03876,-0.06383,0.43988
ret_1,20,-0.03147,0.85786,0.04869,20.56410,-0.11568,0.10934,-0.43944,0.16171,-1.05803,-0.02614,-0.06684,-0.05133,-0.02865,0.43024
ret_3,1,-0.05318,0.69671,0.03293,30.40741,-0.08076,0.11130,-0.34291,0.15347,-0.72562,0.01786,-0.07779,-0.08044,-0.03634,0.27429
ret_3,5,-0.05277,0.82375,0.03431,29.17857,-0.12654,0.14710,-0.52870,0.19345,-0.86025,0.03103,-0.16288,0.03653,-0.16876,0.20384
ret_3,10,-0.01099,0.72783,0.05795,17.27660,-0.10541,0.15644,-0.46723,0.28195,-0.67379,0.07458,-0.09341,0.01988,-0.05935,0.16132
ret_3,20,-0.02272,0.83292,0.03620,27.65517,-0.15692,0.16833,-0.61363,0.24571,-0.93226,-0.01215,-0.07401,-0.03831,-0.02516,0.42504
ema_3,1,-0.04815,0.97564,0.01585,63.15385,-0.18266,0.09610,-0.46312,0.26741,-1.90071,-0.01928,-0.05784,-0.08098,-0.07022,0.55370
ema_3,5,-0.12557,0.93513,0.01593,62.84615,-0.35704,0.19372,-0.85031,0.41333,-1.84304,-0.07227,-0.18557,-0.12362,-0.10464,0.61578
ema_3,10,-0.20503,0.94212,0.01356,73.81818,-0.45324,0.24285,-0.85704,0.50759,-1.86633,-0.04734,-0.36055,-0.28756,-0.21508,0.66234
ema_3,20,-0.33555,0.91895,0.01124,89.11111,-0.57242,0.32237,-0.91716,0.55704,-1.77566,-0.22302,-0.41912,-0.39875,-0.31223,0.72911
ret_5,1,-0.05124,0.88551,0.02683,37.31818,-0.09497,0.08335,-0.32649,0.11166,-1.13933,-0.00819,-0.07880,-0.06106,-0.05576,0.44144
ret_5,5,-0.05743,0.80416,0.03676,27.23333,-0.16100,0.18514,-0.64179,0.19433,-0.86963,0.00704,-0.12424,0.04181,-0.17690,0.21629
ret_5,10,0.00331,0.68227,0.04069,24.60606,-0.11826,0.18302,-0.58360,0.31707,-0.64617,0.08855,-0.08966,0.07704,-0.06339,0.15356
ret_5,20,-0.02131,0.84165,0.02372,42.21053,-0.19455,0.20625,-0.67746,0.33841,-0.94325,0.00141,-0.10549,-0.00623,-0.04706,0.33527
ema_5,1,-0.04730,0.96955,0.02073,48.29412,-0.17345,0.09410,-0.45946,0.28591,-1.84311,-0.02230,-0.05586,-0.08066,-0.06961,0.54428
ema_5,5,-0.12530,0.93023,0.01593,62.84615,-0.34483,0.19699,-0.85082,0.43745,-1.75050,-0.07240,-0.18555,-0.12572,-0.09770,0.60187
